city,x_coors,y_coors
SHKODER,11.76059,7.8168116
SALZBURG,10.683306,6.5092144
INNSBRUCK,10.776823,6.9668207
MOSTAR,13.32703,7.825141
KORTRIJK,12.728191,8.725721
OOSTENDE,13.880032,7.419527
PLOVDIV,14.451987,7.5990205
BASEL,10.875082,7.0967684
BERN,10.615464,7.19572
LEMESOS,13.492698,7.948112
PLZEN,13.900639,5.362096
USTI_NAD_LABEM,13.202813,5.5975685
OLOMOUC,14.195553,5.5664425
LIBEREC,13.19965,5.9324327
CESKE_BUDEJOVICE,14.203016,6.2251387
HRADEC_KRALOVE,13.890003,5.9584675
PARDUBICE,13.682166,5.884692
KARLOVY_VARY,12.908584,5.6809173
AUGSBURG,14.417138,6.1130595
NEUMUNSTER,10.91112,7.608575
CELLE,11.716978,8.229538
BAMBERG,12.453693,6.6247344
PLAUEN,10.591007,8.610955
FULDA,12.313253,8.195026
PASSAU,10.89359,8.90039
LUBECK,12.089372,7.3800397
OSNABRUCK,11.671161,8.450088
GERA,10.585406,8.736866
ODENSE,12.043264,8.691471
NARVA,11.155336,7.652132
LARISA,14.231528,7.766264
IOANNINA,13.6021185,6.7433443
OVIEDO,11.033325,9.568022
TOLEDO,14.610286,8.406817
PALENCIA,14.263371,7.123701
MANRESA,14.51702,8.01209
IRUN,11.488581,8.428276
AVILA,14.566072,8.076569
KUOPIO,11.281095,10.141694
ORLEANS,13.640467,5.8389964
LE_MANS,11.712712,9.0913515
PERPIGNAN,14.602102,8.419305
CALAIS,12.42917,8.293475
TARBES,12.761767,8.221908
BEAUVAIS,10.595623,9.011047
CHALONS_EN_CHAMPAGNE,12.842204,6.8363495
MARTIGUES,11.298902,7.6452217
RIJEKA,12.694823,6.3803253
NYIREGYHAZA,12.185747,8.521216
KECSKEMET,12.155483,9.04779
GALWAY,13.3484535,6.38102
REYKJAVIK,11.246369,7.2164345
PERUGIA,11.766742,9.666903
MODENA,12.533626,9.014666
FOGGIA,14.209819,8.721908
BARLETTA,14.176916,8.918308
PESARO,11.635045,9.844174
PAVIA,12.254354,7.979409
COSENZA,10.976753,9.473431
PARMA,13.220784,8.527692
LIVORNO,11.400188,8.990424
PANEVEZYS,14.366196,6.8866324
LUXEMBOURG,12.908327,6.2896876
LIEPAJA,14.585648,7.411297
PODGORICA,11.025785,6.3766956
PRILEP,14.062531,7.159805
VALLETTA,14.304559,7.61245
ENSCHEDE,11.685995,9.3372
GOUDA,11.375279,6.1273937
MAASTRICHT,14.046454,6.9171925
STAVANGER,10.433505,6.652247
PILA,12.281186,7.1114855
GNIEZNO,12.967265,7.659304
PABIANICE,13.617815,6.6140347
GLOGOW,12.159527,6.647168
BIELSKO_BIALA,10.535843,9.075421
ELBLAG,13.381489,6.0160456
FARO,12.6279,9.226348
GUIMARAES,11.040207,8.798477
TULCEA,13.768459,9.088376
SATU_MARE,12.981292,8.666219
DROBETA_TURNU_SEVERIN,13.696574,8.264592
NOVI_SAD,13.44083,7.121191
VASTERAS,11.405537,10.032857
NORRKOPING,11.360818,10.065198
LJUBLJANA,11.516706,7.9092813
MARIBOR,11.2843,9.628537
BANSKA_BYSTRICA,13.512061,5.4127955
NITRA,14.134842,5.7306485
PRESOV,14.210735,5.8300166
ZILINA,13.926532,5.4125347
CAMBRIDGE,10.365749,6.226015
LINCOLN,10.093066,6.264694
WORCESTER,10.270603,6.4228444
BURNLEY,10.958171,6.2031403
HASTINGS,10.363483,6.897406
DUNDEE_CITY,10.123569,6.2427254
NEWPORT,11.111688,7.958601
CHELTENHAM,10.303976,6.424468
PRISTINA,13.098562,8.204215
